Comments;;
['Rename folder'];;
['Added configuration for web auth, plan management and logout'];;
['icon renamed as ic_launcher.png'];;
['Added ignorance'];;
['Added web UI for auth'];;
['Added application identifier to auth call'];;
['directed the auth callback to point at the AtpAuthActivity class'];;
['Removed old TV functionality'];;
['Removed old TV functionality'];;
['Removed old TV functionality'];;
['Use 15.2.30.x versioning scheme for branch'];;
['Correct url and tag name for branch tagging'];;
['Removed Ril classes'];;
['Removed Ril classes'];;
['Authentication for locker'];;
['modified chsettings content provider for at&t'];;
['Removed dead code'];;
['Partial code clean'];;
['Partial code cleanup'];;
['Partial code cleanup'];;
['Partial code cleanup'];;
['Added boolean to upgrade'];;
['Plan management'];;
['Code cleanup'];;
['Prep for release'];;
['Modified mail template'];;
['[gradle-release] prepare for next development iteration'];;
['Added dev build variant'];;
['Revved'];;
['Partial code cleanup'];;
['Partial code cleanup'];;
['Partial code cleanup'];;
['Phone Locker changes for 15.2 Branch'];;
['[gradle-release] prepare for next development iteration'];;
['PHONE-351', 'Phone 2.0 - Home Screen redsign is OFF'];;
"['PHONE-349', 'Phone 2.0 - ""Invitations and Referrals"" tool is available.']";;
['PHONE-348'];;
['PHONE-348'];;
['PHONE-348'];;
"['PHONE-350', 'Phone 2.0 - ""Report Abusive Content"" is available.']";;
['PHONE-354'];;
['Removed translatable flag'];;
['PHONE-360', 'Phone 2.0 - Device is not uploading or downloading.'];;
['Fixed release build.'];;
['Added configuration for intro screen'];;
['[gradle-release] prepare for next development iteration'];;
['Added migration class and tests'];;
['Added migration class and tests'];;
['Updated migration classes'];;
['Modified test case'];;
['PHONE-392'];;
['Added qa config'];;
['Added migration info parsing'];;
['Added String overload'];;
['Added migration info popup'];;
['Added migration info popup'];;
['Remove wizard images'];;
['PHONE-401', 'ATTLocker 2.0 - Failed to Re-auth'];;
['Optimised assets'];;
['Removed unused assets'];;
['Removed unused assets'];;
['Revert deletion'];;
['Removed v11 drawables'];;
['merge in the latest changes from 15.2 to revision -r1495084'];;
['Removed unused resources and enabled UnusedResources lint rule'];;
['Added lint ignore for UnusedResources'];;
['Removed UnusedResources'];;
['[gradle-release] prepare for next development iteration'];;
['Moved app recommendations icons into client'];;
['PHONE-465: Phone 2.0 - App Crashes after first launch.', 'PHONE-464: Phone 2.0 - App Crashes when you navigate to Share tab.'];;
['PHONE-436: Phone - Disable TV Beaming'];;
"['PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""']";;
"['PHONE-466: Phone 2.0 - ""MigrationInfo"" Text appears frequently went navigate to ""what to back up"".']";;
"['PHONE-397: Phone 2.0 - ""Content found"" notification does not pop up.']";;
['Changed project jira key'];;
['[gradle-release] prepare for next development iteration'];;
['Wrong commit'];;
['Added QA Tested to the jira report, revert settings.gradle'];;
['PHONE-478: PHONE 2.0 - Homescreen Timeline should be bolded'];;
['PHONE-471: Phone - Shadow ro right of Logo'];;
['finalisation of ANDINT-3395;', 'Potential NPE fixed.', ''];
['Set gap strategy to GAP_HANDLING_NONE'];;
['PHONE-491: Phone - Countly End Points'];;
['PHONE-340: Phone 2.0 - PUSH Notification are not working - DEV / API'];;
['Set up correct prod endpoints'];;
['Update prod values'];;
['PHONE-423: External web addresses for auth, upgrade and logout need to be retrieved from SNC.'];;
['Changed release email subject'];;
['[gradle-release] prepare for next development iteration'];;
['PHONE-450: Include Phone strings.xml file in final build before FAT', 'Moved nab_account_type, dataclasses, dataclasses_extended_pcloud and dataclasses_extended_mct into configuration'];;
['Removed unused strings'];;
['Added ignores UnusedResources'];;
['Fixing libpng warning: iCCP: Not recognizing known sRGB profile that has been edited'];;
['Updated icon.png'];;
"['Put translatable=""false""']";;
['[gradle-release] prepare for next development iteration'];;
['PHONE-418: Login errors need to be handled.'];;
['Set mct.cloud.fallback to false'];;
['Removed Reliance specific login and download classes'];;
"['PHONE-578: ""/n"" showing up in string rather than text moving to new line']";;
['Removed NAB QuotaManagement feature'];;
['Removed unused resources'];;
['Removed specific VZW provisioning_flow_enabled , contacts clean up and contacts history'];;
['Removed unused'];;
['PHONE-547 - Added rounded buttons accross the board'];;
['Removed unused ContactsActivity'];;
['Removed unused UserChanged'];;
"['PHONE-623: Phone 2.0 - ""Remove from Playlist"" pop up is displayed when user try to remove Photo or video from an album.']";;
['PHONE-613 - Removed tile'];;
['Build fix'];;
"['PHONE-552: Phone 2.0 - ""About"" not implemented in settings.']";;
['PHONE-363 - Updated notification icon'];;
['Lint modification'];;
"[""PHONE-591: Phone 2.0 - 'Report Abusive Content' is available in Share tab.""]";;
['Lint modification'];;
['Lint modification'];;
['Lint modification'];;
['PHONE-654: Phone 2.0 - App is crashing when we double tap on device back key when favoriting/unfavoriting content is in progress.'];;
['PHONE-651: Phone 2.0 - Add files pop up is not displayed as expected when we try to add more files to share'];;
['Removed unused BackupNowActivity'];;
['Removed unused contacts related classes'];;
['Exclude non en and ldpi resources from client-att client'];;
['PHONE-549 - Suppressed view when not data is available'];;
['PHONE-681'];;
['PHONE-551: Phone 2.0 - Push notification is starting download of the shared file'];;
"[""Share optimisation, don't do thumbnails request for non media items""]";;
['[gradle-release] prepare for next development iteration'];;
['Remove sliding menu header'];;
['PHONE-434 Changed Slide Menu changed to Phone Locker'];;
['Removed unused import'];;
['Added strings as translated for phraseapp'];;
['Added strings as translated for phraseapp'];;
['Added strings as translated for phraseapp'];;
['Added strings as translated for phraseapp'];;
['Added backup status'];;
['PHONE-455 - Merged from trunk', 'Added migration status screen'];;
['Added migration activity'];;
['PHONE-295'];;
['LINT FIX'];;
['PHONE-799 - Modified the layout of the button to wrap the text'];;
['Removed temporary check for status'];;
['String updated'];;
['Modified'];;
['Removed notification icons.'];;
['PHONE-549'];;
['[gradle-release] prepare for next development iteration'];;
['String update'];;
['[gradle-release] prepare for next development iteration'];;
['PHONE-536', 'App does not open for Android M - Beta'];;
['[gradle-release] prepare for next development iteration'];;
['Normalising code'];;
['Modified code'];;
['PHONE-591'];;
['PHONE-879 - Added internal preference flag'];;
['PHONE-807: Phone 2.0 - Repeat option in the Music Player is not working as expected'];;
"['PHONE-725: Phone 2.0 - ""Upload paused. Roaming detected."" Notification is not displayed on device notification tray when we download any content when user is in roaming data and WiFi is off.']";;
['Merged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with', 'PHONE-854: CLONE - Push Notification are not Recieved Next Day'];;
['Merged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with', 'PHONE-854: CLONE - Push Notification are not Recieved Next Day'];;
['Fixed: libpng warning: iCCP: Not recognizing known sRGB profile that has been edited'];;
['PHONE-879: Phone 2.0 - First Time User Login Flow Every Time'];;
['PHONE-957: Phone - About Screen Copyright'];;
"['PHONE-916: Phone 2.0 - ""Get Start"" Button string is not clear - HTC desire 610.']";;
"['PHONE-726: Phone 2.0 - Message displayed on tapping of ""Locker Backup Paused Roaming detected..."" notification is not as expected.']";;
"['PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""']";;
['PHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen'];;
['PHONE-908'];;
['String updates'];;
['TypographyDashes fix'];;
['TypographyDashes fix'];;
['[gradle-release] prepare for next development iteration'];;
['PHONE-854 - Changed sender ID'];;
['PHONE-996'];;
['PHONE-996'];;
['PHONE-434'];;
['PHONE-363'];;
['[gradle-release] prepare for next development iteration'];;
['PHONE-995: ATT Android || Keypad is in visible state when we click on hamburger menu from the help screen search field'];;
['PHONE-1039: Phone 2.0 - Push notification icon is not matching on all devices.'];;
['PHONE-1014', 'Phone 2.0 - Unexpected response on the progress bar while restoring.', 'ANDINTL-3366', '15.2- Warning message is displayed when we disabled wi-fi during photo upload,upload is not resuming when wi-fi is back', ''];;
['PHONE-1018: Phone || Files downloading is not resuming once the airplane mode is turned ON and OFF', ''];;
['Merging 15.2 changes'];;
['ANDINTL-3702: 15.2-PC-login pop up is displayed when device is kept idle for some time', ''];;
['Removed unused -keepclassmembers'];;
['fixed PHONE-1104 No-Videos message is displayed under photos tab.'];;
['PHONE-1018: Phone || Files download is not resuming once connection is lost and regained', 'Finer detection of the manager to call (remote or local file manager) depending on the state of the work'];;
['PHONE-1018: Phone || Files download is not resuming once connection is lost and regained', 'extends to all I/O exceptions the pause of download operations, by using the latest Cloud SDK 1.0.8.18'];;
['PHONE-1109: Phone 2.0 - Empty Pop up message is displayed when we tap on continue on Download paused Roaming detected screen.'];;
"[""PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title""]";;
['PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album'];;
['PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.'];;
['PHONE-1246: CR018 Carousel'];;
['Fixed lint issue'];;
